connector	class	type
porque	causal	primary
pues	causal	primary
puesto que	causal	primary
ya que	causal	primary
dado que	causal	primary
visto que	causal	primary
supuesto que	causal	primary
toda vez que	causal	primary
en vista de que	causal	primary
habida cuenta de que	causal	primary
debido a que	causal	primary
gracias a que	causal	primary
por cuanto	causal	primary
a causa de	causal	secondary
debido a	causal	secondary
gracias a	causal	secondary
por culpa de	causal	secondary
por razón de	causal	secondary
en razón de	causal	secondary
en virtud de	causal	secondary
a fuerza de	causal	secondary
a consecuencia de	causal	secondary
como consecuencia de	causal	secondary
como resultado de	causal	secondary
de resultas de	causal	secondary
por eso	causal	secondary
por ello	causal	secondary
por esto	causal	secondary
por tanto	causal	secondary
por lo tanto	causal	secondary
por consiguiente	causal	secondary
por ende	causal	secondary
en consecuencia	causal	secondary
de ahí que	causal	primary
de ahí	causal	secondary
así pues	causal	secondary
así que	causal	primary
conque	causal	primary
de modo que	causal	primary
de manera que	causal	primary
de forma que	causal	primary
de suerte que	causal	primary
de tal modo que	causal	primary
de tal manera que	causal	primary
por lo cual	causal	secondary
por lo que	causal	secondary
razón por la cual	causal	secondary
motivo por el cual	causal	secondary
pero	adversative	primary
mas	adversative	primary
sino	adversative	primary
sino que	adversative	primary
empero	adversative	primary
sin embargo	adversative	secondary
no obstante	adversative	secondary
ahora bien	adversative	secondary
antes bien	adversative	secondary
por el contrario	adversative	secondary
al contrario	adversative	secondary
todo lo contrario	adversative	secondary
en cambio	adversative	secondary
por contra	adversative	secondary
en contraste	adversative	secondary
mientras que	adversative	primary
en lugar de eso	adversative	secondary
lejos de eso	adversative	secondary
eso sí	adversative	secondary
aunque	concessive	primary
aun cuando	concessive	primary
si bien	concessive	primary
a pesar de que	concessive	primary
pese a que	concessive	primary
por más que	concessive	primary
por mucho que	concessive	primary
por muy que	concessive	primary
por poco que	concessive	primary
aun a riesgo de	concessive	secondary
a pesar de	concessive	secondary
pese a	concessive	secondary
con todo	concessive	secondary
con todo y con eso	concessive	secondary
aun así	concessive	secondary
así y todo	concessive	secondary
de todos modos	concessive	secondary
de todas formas	concessive	secondary
de todas maneras	concessive	secondary
de cualquier modo	concessive	secondary
de cualquier forma	concessive	secondary
de cualquier manera	concessive	secondary
en todo caso	concessive	secondary
en cualquier caso	concessive	secondary
después de todo	concessive	secondary
bien es verdad que	concessive	secondary
cierto es que	concessive	secondary
cuando	temporal	primary
mientras	temporal	primary
mientras tanto	temporal	secondary
entretanto	temporal	primary
entre tanto	temporal	secondary
antes de que	temporal	primary
después de que	temporal	primary
luego que	temporal	primary
después que	temporal	primary
tan pronto como	temporal	primary
en cuanto	temporal	primary
apenas	temporal	primary
nada más	temporal	secondary
una vez que	temporal	primary
cada vez que	temporal	primary
siempre que	temporal	primary
hasta que	temporal	primary
desde que	temporal	primary
al mismo tiempo	temporal	secondary
a la vez	temporal	secondary
simultáneamente	temporal	primary
previamente	temporal	primary
anteriormente	temporal	primary
posteriormente	temporal	primary
seguidamente	temporal	primary
enseguida	temporal	primary
en seguida	temporal	secondary
acto seguido	temporal	secondary
acto continuo	temporal	secondary
a continuación	temporal	secondary
más tarde	temporal	secondary
